STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160419,0.16,0.0,0.0,46,57,41,6.5,340,350,19.9,25.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160420,0.00,0.0,0.0,48,59,37,9.8,360,340,21.9,28.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160421,0.00,0.0,0.0,51,68,32,5.6,160,150,15.0,19.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160422,0.00,0.0,0.0,55,68,44,2.9,150,150,13.0,16.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160423,0.01,0.0,0.0,56,64,43,10.7,330,330,25.1,29.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160424,0.00,0.0,0.0,47,57,33,9.2,350,340,21.0,36.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160425,0.00,0.0,0.0,46,62,28,8.3,170,190,18.1,31.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160426,0.40,0.0,2.2,39,45,30,6.3,50,-9999,14.1,-9999,-9999,1,-9999,-9999,1,1,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160427,0.00,1.2,0.0,40,56,27,7.6,280,290,21.0,28.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160428,0.00,0.0,0.0,42,49,29,6.5,180,150,16.1,19.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160429,0.00,0.0,0.0,40,49,33,7.4,160,160,15.0,19.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160430,0.00,0.0,0.0,44,55,30,5.4,170,190,16.1,21.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160501,0.02,0.0,0.0,45,52,38,5.4,190,170,15.0,21.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160502,0.94,0.0,0.0,44,46,43,9.4,70,70,16.1,19.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160503,0.00,0.0,0.0,46,52,41,3.8,10,360,14.1,17.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160504,0.28,0.0,0.0,45,50,40,7.8,60,60,16.1,21.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160505,0.24,0.0,0.0,45,48,43,11.6,20,20,17.0,21.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160506,0.04,0.0,0.0,51,61,45,7.4,20,360,16.1,23.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160507,0.00,0.0,0.0,47,49,45,7.6,90,90,15.0,18.1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
